objectid,filename,youtubeid,vimeoid,identifier,level,classification,worktype,title,creator,date,subject,location,description,dimensions,materials,source,type,format
demo_001,https://www.pup.edu.ph/about/images/mural2022.jpg?raw=true,,,pup_0001,item,Visual Arts,sculture; mural,The Mural,"Eduardo Castillo (Filipino sculptor, 1942-2016)",1974,universities; buildings; campuses; sculpture,"Main gate, University Mabini Campus.","The theme of the artwork is Consolidated Growth through Education - the role of PUP in the educational development of the youth in preparation for their involvement in nation building.  The mural illustrates the social, economic, industrial, technological, and cultural aspect of life with which man blends himself to develop an environment necessary to the progress of the nation.",2.5 x 9.3 meters,Cut and welded brass mural relief,PUP Cultural Mapping Collection,Image;StillImage,image/jpeg
demo_002,https://upload.wikimedia.org/wikipedia/commons/f/f4/PUP_Mabini_Campus_pylon_%28Anonas_Street%2C_Santa_Mesa%2C_Manila%3B_06-18-2023%29.jpg?raw=true,,,pup_0002,item,Visual Arts,sculture,The Pylon,,1974,universities; buildings; campuses; sculpture,"PUP Mabini Campus pylon, Anonas Street, Santa Mesa, Manila ","The Pylon originally stood for the true, the good and the beautiful. The Triad of pillars may also stand for wisdom, strength and beauty because there should be wisdom to contrive, strength to support and beauty to adorn any great or important undertaking. Since 1987, however, the Pylon came to symbolized truth, excellence and wisdom.",3 x 2 x 18.3 meters,Concrete,PUP Cultural Mapping Collection,Image;StillImage,image/jpeg
demo_003,https://www.pup.edu.ph/about/images/obelisk.jpg?raw=true,,,pup_0003,item,Visual Arts,sculture,The Obelisk,,ca. 2010,universities; buildings; campuses; sculpture,"PUP Mabini Campus pylon, Anonas Street, Santa Mesa, Manila ","The Obelisk, standing majestic on its base, depicts the strength of the Polytechnic University of the Philippines as an institution of higher learning, promoting educational and moral aims which are fortified by a determined leadership with a clear vision for the Filipino youth and an efficient support system inspired by the virtues of public service.",,Concrete,PUP Cultural Mapping Collection,Image;StillImage,image/jpeg
